Mã,Sàn,Ngành ICB - cấp 2,Năm,Lợi nhuận sau thuế thu nhập doanh nghiệp,TỔNG CỘNG TÀI SẢN,GTCL tài sản cố định vô hình,NỢ PHẢI TRẢ,VỐN CHỦ SỞ HỮU,price,marketcap,avg20_volume,Slcp,eps,pe,bvps,pb,roe
ADS,HOSE,Hàng cá nhân & Gia dụng,2024.0,56.053340028,2605.704418022,0.625457151,1646.192567543,959.511850479,8760.0,669218.5,96.01000000000002,76394805.93607306,733.732343988219,11.938958493208599,12551.72235309287,0.6979121871542553,0.0584186010834754
AGG,HOSE,Bất động sản,2024.0,261.003901664,7035.483967227,10.081542004000001,3898.395385751,3137.0885814760004,15400.0,2502931.0,593.2149999999999,162527987.01298702,1605.9012755947326,9.589630591890982,19239.806613873414,0.8004238456791655,0.08319940444308323
AGM,HOSE,Thực phẩm và đồ uống,2024.0,-251.40135999600002,1044.2201572220001,188.263004751,1279.5906434780002,-235.37048625600002,3320.0,60423.98,183.46999999999997,18199993.975903615,-13813.266110354201,-0.2403486600110731,-23276.57314435825,-0.142632679622116,1.0681091074543818
AGR,HOSE,Dịch vụ tài chính,2024.0,135.152065932,3472.2271075390004,19.412189697000002,1029.539399155,2442.687708384,16950.0,3650880.0,586.135,215391150.44247788,627.4726963218183,27.013127582059255,11250.58069335192,1.5065889007858877,0.05532924469555384
ANV,HOSE,Thực phẩm và đồ uống,2024.0,48.406232686,4862.368928097,339.66497749800004,2065.101042789,2797.267885308,19800.0,5271861.0,2329.9849999999997,266255606.06060606,181.8036187188547,108.90872326704991,9230.239108094467,2.1451231943315934,0.01730482551930135
APG,HOSE,Dịch vụ tài chính,2024.0,-149.252024828,2653.122457768,3.773308672,269.541538972,2383.5809187960003,6670.0,1024658.0,664.4549999999999,153621889.05547225,-971.5544167934668,-6.8652870953062735,15491.331507222001,0.4305633764851311,-0.06261672244942727
APH,HOSE,Hàng & Dịch vụ Công nghiệp,2024.0,308.49958044600004,13424.524230356,145.560109379,7506.270481144001,5918.253749212,7000.0,1707188.0,737.975,243884000.0,1264.943909588165,5.533842209872396,23669.833362717527,0.2957350773337397,0.052126791705589835
ASG,HOSE,Hàng & Dịch vụ Công nghiệp,2024.0,53.47664627,3270.710771673,34.204039077000004,1238.105053078,2032.605718595,18300.0,1661359.0,2.480000000000001,90784644.80874316,589.0494629643563,31.06700056716178,22012.551612974323,0.8313438769730755,0.026309404613386954
ASM,HOSE,Thực phẩm và đồ uống,2024.0,253.26529511500001,22904.651805175003,1397.1018403730002,14814.638319823001,8090.013485352,8600.0,3183532.0,497.52105263157904,370178139.53488374,684.1713976768569,12.569949619644714,18080.24550933347,0.47565725783759233,0.03130591754557258
ASP,HOSE,"Điện, nước & xăng dầu khí đốt",2024.0,3.8394138300000002,1587.919367868,83.574816248,1285.426570216,302.49279765200004,3960.0,147864.5,21.874999999999996,37339520.202020206,102.82440184628494,38.51225904450107,5862.902903400345,0.6754333246254672,0.012692579326853982
AST,HOSE,Bán lẻ,2024.0,202.37883741200002,853.2802712280001,24.100514420000003,235.00563249700002,618.274638731,54500.0,2452499.0,10.078947368421053,44999981.65137614,4497.309331809718,12.11835699504112,13203.874812976275,4.127576243485695,0.32732838246022794
ATP,HOSE,Thực phẩm và đồ uống,,,,,,,,,,,,,,,
BAF,HOSE,Thực phẩm và đồ uống,2024.0,323.86963937900003,7466.510991255001,5.724397521,4526.158708257,2940.352282998,28100.0,6716506.0,3559.0449999999996,239021565.83629894,1354.9808288044262,20.738300795587026,12277.669904843931,2.2887078914634817,0.1101465430695878
BBC,HOSE,Thực phẩm và đồ uống,2024.0,116.70002804800001,2207.509792823,1.762345005,712.33350471,1494.971198746,53700.0,1007019.0,0.9999999999999998,18752681.56424581,6223.111486652784,8.629123890062838,79637.3541560781,0.6743066814444324,0.07806172329332459
BCE,HOSE,Xây dựng và Vật liệu,2024.0,52.052940752000005,713.7800747910001,13.650991063000001,326.78863666,386.99143813100005,8500.0,297499.9,148.46999999999997,34999988.23529412,1487.227378536934,5.715333191594354,10666.87350173227,0.7968595482659117,0.13450669865822618
BCG,HOSE,Dịch vụ tài chính,2024.0,844.7979608810001,46522.627426159,398.80962113000004,25129.038467955,21393.588958204,6360.0,5598138.0,8718.084999999997,880210377.3584906,959.7682356532048,6.626599801640104,23852.00160906906,0.2666442885691315,0.03948837020901243
