ts_utc,ts_local,ticker,price,signal,method
2025-09-18T09:24:31.954824+00:00,2025-09-08 11:15:00,ACB,26700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.955820+00:00,2025-09-08 14:15:00,ACB,26600,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.955820+00:00,2025-09-11 09:45:00,ACB,26000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.955820+00:00,2025-09-11 10:15:00,ACB,25950,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.956820+00:00,2025-09-11 11:15:00,ACB,26000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.956820+00:00,2025-09-11 13:30:00,ACB,26150,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.957817+00:00,2025-09-12 10:15:00,ACB,26350,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.957817+00:00,2025-09-12 10:30:00,ACB,26450,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.958813+00:00,2025-09-12 10:45:00,ACB,26550,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.958813+00:00,2025-09-12 11:00:00,ACB,26600,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.959809+00:00,2025-09-17 14:00:00,ACB,26200,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.959809+00:00,2025-09-18 09:45:00,ACB,25950,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.960338+00:00,2025-09-18 10:15:00,ACB,25950,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.960338+00:00,2025-09-18 13:15:00,ACB,25800,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.962538+00:00,2025-09-18 13:30:00,ACB,25700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.962538+00:00,2025-09-18 14:00:00,ACB,25700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:31.962538+00:00,2025-09-18 14:15:00,ACB,25650,1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.562132+00:00,2025-08-20 13:00:00,QNS,47600,1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.562132+00:00,2025-08-20 14:00:00,QNS,47400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.562132+00:00,2025-08-21 13:30:00,QNS,47100,1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.562132+00:00,2025-08-21 14:00:00,QNS,46700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.563642+00:00,2025-08-21 14:15:00,QNS,46600,1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.563642+00:00,2025-08-25 13:45:00,QNS,47200,1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.563642+00:00,2025-09-05 14:30:00,QNS,47300,1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.564776+00:00,2025-09-10 13:00:00,QNS,47300,1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.564776+00:00,2025-09-10 14:45:00,QNS,47000,1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.564776+00:00,2025-09-15 13:15:00,QNS,47500,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.564776+00:00,2025-09-17 09:45:00,QNS,47800,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:32.566223+00:00,2025-09-18 11:15:00,QNS,47400,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.081089+00:00,2025-08-20 10:45:00,MSH,35700,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.081089+00:00,2025-08-21 09:15:00,MSH,35100,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.082110+00:00,2025-08-22 09:45:00,MSH,36600,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.082110+00:00,2025-08-26 13:30:00,MSH,35450,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.082110+00:00,2025-08-27 09:15:00,MSH,36250,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.082110+00:00,2025-08-28 09:30:00,MSH,37100,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.083611+00:00,2025-08-28 10:00:00,MSH,37000,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.084237+00:00,2025-08-28 10:15:00,MSH,36950,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.084740+00:00,2025-08-28 13:15:00,MSH,36950,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.085808+00:00,2025-08-29 13:45:00,MSH,36450,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.085808+00:00,2025-08-29 14:00:00,MSH,36450,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.085808+00:00,2025-08-29 14:15:00,MSH,36650,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.087007+00:00,2025-09-05 14:15:00,MSH,36450,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.087007+00:00,2025-09-08 09:30:00,MSH,36250,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.088011+00:00,2025-09-08 10:45:00,MSH,35800,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.088321+00:00,2025-09-08 11:00:00,MSH,35600,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.088321+00:00,2025-09-08 14:15:00,MSH,35750,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.089489+00:00,2025-09-11 10:00:00,MSH,35050,1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.090508+00:00,2025-09-11 14:45:00,MSH,36000,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.090508+00:00,2025-09-12 10:00:00,MSH,36000,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:33.091513+00:00,2025-09-15 14:45:00,MSH,37300,-1,Wyckoff+VSA+RSI
