ticker,timestamp,open,high,low,close,volume,bu,sd,label,hit_time,hit_type,ub,lb,vbar_end
NAB,2020-11-02,5259.4434816,5435.9348736,5259.4434816,5303.5663296,488684.0,8900.0,118300.0,-1,1970-01-01 00:00:00.000010697,sl,5564.102740347524,5173.2981242262385,
NAB,2020-11-03,5294.74176,5294.74176,5047.6538112,5237.911531776,51017.0,7500.0,34600.0,-1,1970-01-01 00:00:00.000010704,sl,5488.052331116194,5112.841132105902,
NAB,2020-11-04,5259.4434816,5294.74176,5224.1452032,5245.32417024,911315.0,14200.0,21800.0,-1,1970-01-01 00:00:00.000010700,sl,5488.722256320476,5123.625127199763,
NAB,2020-11-05,5259.4434816,5259.4434816,5224.1452032,5241.441359616,52581.0,0.0,0.0,-1,1970-01-01 00:00:00.000010700,sl,5477.920772208582,5123.201653319709,
NAB,2020-11-06,5259.4434816,5259.4434816,5118.250368,5175.433579008,201969.0,57500.0,114900.0,-1,1970-01-01 00:00:00.000010704,sl,5403.651245835439,5061.324745594281,
NAB,2020-11-09,5118.250368,5188.8469248,5118.250368,5157.784439808,826927.0,28300.0,18200.0,-1,1970-01-01 00:00:00.000010704,sl,5383.552297132423,5044.900511145788,
NAB,2020-11-10,5224.1452032,5224.1452032,5153.5486464,5200.495356672,71501.0,18600.0,46700.0,-1,1970-01-01 00:00:00.000010704,sl,5423.707368450502,5088.889350782749,
NAB,2020-11-11,5118.250368,5188.8469248,5118.250368,5136.958455552,61003.0,7600.0,48200.0,-1,1970-01-01 00:00:00.000010704,sl,5290.579224814418,5060.148070920791,
NAB,2020-11-12,5118.250368,5188.8469248,4977.0572544,5088.952796928,84144.0,13500.0,67600.0,-1,1970-01-01 00:00:00.000010705,sl,5241.407314189178,5012.725538297411,
NAB,2020-11-13,5118.250368,5188.8469248,5012.3555328,5062.126105344,142426.0,58700.0,66500.0,-1,1970-01-01 00:00:00.000010706,sl,5190.842545985304,4997.767885023349,
NAB,2020-11-16,5047.6538112,5047.6538112,4906.4606976,4950.5835456,192333.0,39100.0,138700.0,1,1970-01-01 00:00:00.000010708,tp,5083.359878338682,4884.1953792306595,
NAB,2020-11-17,4941.758976,4977.0572544,4906.4606976,4939.288096512,173905.0,75400.0,81600.0,1,1970-01-01 00:00:00.000010708,tp,5070.156836102408,4873.853726716797,
NAB,2020-11-18,4941.758976,5188.8469248,4941.758976,4965.761805312,163769.0,25900.0,133400.0,-1,1970-01-01 00:00:00.000010709,sl,5076.3842141949435,4910.450600870529,
NAB,2020-11-19,5012.3555328,5012.3555328,4906.4606976,4953.054425088,77782.0,33900.0,41100.0,-1,1970-01-01 00:00:00.000010710,sl,5053.0238857133545,4903.069694775323,
NAB,2020-11-20,4906.4606976,4977.0572544,4835.8641408,4939.99406208,117384.0,28800.0,87400.0,-1,1970-01-01 00:00:00.000010713,sl,5037.100209270635,4891.440988484682,
NAB,2020-11-23,4941.758976,4941.758976,4906.4606976,4924.815802368,137771.0,69700.0,67000.0,-1,1970-01-01 00:00:00.000010713,sl,5020.363173825184,4877.042116639408,
NAB,2020-11-24,4941.758976,4941.758976,4906.4606976,4922.697905664,3336150.0,24700.0,24200.0,-1,1970-01-01 00:00:00.000010713,sl,5018.257010098544,4874.918353446728,
NAB,2020-11-25,4906.4606976,4906.4606976,4871.1624192,4903.636835328,140901.0,38200.0,89000.0,-1,1970-01-01 00:00:00.000010715,sl,4997.927969898784,4856.491268042609,
NAB,2020-11-26,4906.4606976,4906.4606976,4871.1624192,4890.929455104,59267.0,26900.0,25600.0,-1,1970-01-01 00:00:00.000010715,sl,4983.789030030449,4844.499667640775,
NAB,2020-11-27,4800.5658624,4906.4606976,4588.776192,4864.455746304,238032.0,120000.0,116000.0,-1,1970-01-01 00:00:00.000010716,sl,4956.025189991721,4818.67102446014,
NAB,2020-11-30,4588.776192,4906.4606976,4588.776192,4888.8115584,61801.0,10400.0,46100.0,-1,1970-01-01 00:00:00.000010717,sl,4957.998277762794,4854.218198718603,
NAB,2020-12-01,4871.1624192,4871.1624192,4729.9693056,4828.451502336,102253.0,20100.0,79000.0,-1,1970-01-01 00:00:00.000010718,sl,4896.764389552517,4794.295058727741,
NAB,2020-12-02,4835.8641408,4871.1624192,4729.9693056,4826.686588416,77370.0,28900.0,32700.0,-1,1970-01-01 00:00:00.000010720,sl,4894.38272802177,4792.8385186131145,
NAB,2020-12-03,4835.8641408,4835.8641408,4800.5658624,4819.97991552,151385.0,34000.0,91400.0,-1,1970-01-01 00:00:00.000010720,sl,4887.437250097411,4786.251248231294,
NAB,2020-12-04,4800.5658624,4835.8641408,4765.267584,4793.859189504,95631.0,35100.0,43800.0,0,1970-01-01 00:00:00.000010721,both,4858.298040502365,4761.639764004817,
NAB,2020-12-07,4765.267584,4906.4606976,4694.6710272,4798.447965696,358468.0,173100.0,184000.0,1,1970-01-01 00:00:00.000010722,tp,4863.75247970988,4765.79570868906,
NAB,2020-12-08,4871.1624192,5047.6538112,4800.5658624,4915.638249984,212823.0,167000.0,30900.0,1,1970-01-01 00:00:00.000010723,tp,5003.2905404761705,4871.812104737915,
NAB,2020-12-09,5118.250368,5435.9348736,5118.250368,5346.630229248,431012.0,260500.0,134400.0,-1,1970-01-01 00:00:00.000010725,sl,5580.70054677584,5229.595070484081,
NAB,2020-12-10,5400.6365952,5435.9348736,5294.74176,5375.221834752,5115278.0,43700.0,134200.0,-1,1970-01-01 00:00:00.000010725,sl,5608.7957180567,5258.43489309965,
NAB,2020-12-11,5259.4434816,5259.4434816,5082.9520896,5219.556427008,171801.0,48500.0,122700.0,-1,1970-01-01 00:00:00.000010732,sl,5457.748206052658,5100.460537485672,
NAB,2020-12-14,5224.1452032,5259.4434816,5153.5486464,5215.3206336,119127.0,32000.0,80900.0,-1,1970-01-01 00:00:00.000010732,sl,5446.205073654866,5099.878413572567,
NAB,2020-12-15,5224.1452032,5224.1452032,5153.5486464,5174.72761344,5007672.0,39200.0,30700.0,-1,1970-01-01 00:00:00.000010732,sl,5404.858641210726,5059.662099554637,
NAB,2020-12-16,5188.8469248,5259.4434816,5153.5486464,5181.081303552,149416.0,57300.0,86700.0,-1,1970-01-01 00:00:00.000010732,sl,5411.409641745019,5065.91713445549,
NAB,2020-12-17,5153.5486464,5224.1452032,5118.250368,5151.077766912,78852.0,31700.0,32600.0,-1,1970-01-01 00:00:00.000010732,sl,5380.579734168897,5036.326783283552,
NAB,2020-12-18,5118.250368,5188.8469248,5118.250368,5137.311438336,4232193.0,43300.0,35500.0,-1,1970-01-01 00:00:00.000010732,sl,5366.20425222907,5022.865031389464,
NAB,2020-12-21,5153.5486464,5188.8469248,5118.250368,5166.961992192,188770.0,89500.0,78500.0,-1,1970-01-01 00:00:00.000010732,sl,5396.947400080772,5051.969288247614,
NAB,2020-12-22,5153.5486464,5365.3383168,5012.3555328,5259.4434816,335049.0,241000.0,75300.0,1,1970-01-01 00:00:00.000010734,tp,5496.1063731983395,5141.112035800831,
NAB,2020-12-23,5365.3383168,5471.233152,5365.3383168,5424.639424512,4429387.0,52900.0,214300.0,-1,1970-01-01 00:00:00.000010734,sl,5676.962180608307,5298.478046463846,
NAB,2020-12-24,5435.9348736,5541.8297088,5153.5486464,5305.684226304,113100.0,39400.0,52000.0,1,1970-01-01 00:00:00.000010744,tp,5560.2841222480865,5178.384278331956,
NAB,2020-12-25,5365.3383168,5365.3383168,5224.1452032,5289.44701824,270801.0,33100.0,73900.0,1,1970-01-01 00:00:00.000010744,tp,5542.79578774838,5162.772633485811,
NAB,2020-12-28,5294.74176,5400.6365952,5224.1452032,5266.856120064,1052396.0,58200.0,54800.0,1,1970-01-01 00:00:00.000010743,tp,5519.950472676003,5140.308943757998,
NAB,2020-12-29,5259.4434816,5259.4434816,5188.8469248,5216.026599168,89312.0,46800.0,36900.0,1,1970-01-01 00:00:00.000010742,tp,5465.748825750203,5091.165485876899,
NAB,2020-12-30,5224.1452032,5294.74176,5188.8469248,5226.969065472,717358.0,22900.0,54300.0,1,1970-01-01 00:00:00.000010742,tp,5477.026790712068,5101.940202851965,
NAB,2020-12-31,5224.1452032,5259.4434816,5224.1452032,5224.1452032,827545.0,62600.0,63700.0,1,1970-01-01 00:00:00.000010742,tp,5473.965514092228,5099.235047753886,
NAB,2021-01-04,5224.1452032,5259.4434816,5188.8469248,5217.791513088,167617.0,104500.0,58300.0,1,1970-01-01 00:00:00.000010742,tp,5466.561625014507,5093.406457124746,
NAB,2021-01-05,5224.1452032,5365.3383168,5224.1452032,5310.273002496,1156162.0,193200.0,95300.0,1,1970-01-01 00:00:00.000010744,tp,5565.1823918161235,5182.818307835938,
NAB,2021-01-06,5330.0400384,5506.5314304,5294.74176,5417.932751616,356886.0,240500.0,97700.0,1,1970-01-01 00:00:00.000010744,tp,5676.3182281098225,5288.740013369089,
NAB,2021-01-07,5400.6365952,5541.8297088,5365.3383168,5453.936995584,267855.0,183600.0,126500.0,0,1970-01-01 00:00:00.000010744,both,5605.421765333884,5378.194610709058,
NAB,2021-01-08,5541.8297088,5718.3211008,5365.3383168,5571.83324544,473821.0,305500.0,134400.0,1,1970-01-01 00:00:00.000010745,tp,5734.622367314301,5490.438684502848,
NAB,2021-01-11,5647.724544,5859.5142144,5612.4262656,5726.792687616,363500.0,165300.0,174400.0,-1,1970-01-01 00:00:00.000010746,sl,5884.726968708701,5647.8255470696495,
NAB,2021-01-12,5824.215936,5824.215936,5647.724544,5726.792687616,189610.0,78400.0,105200.0,-1,1970-01-01 00:00:00.000010747,sl,5884.543670159746,5647.917196344127,
NAB,2021-01-13,5718.3211008,5753.6193792,5577.1279872,5647.371561216,340096.0,52200.0,263300.0,-1,1970-01-01 00:00:00.000010749,sl,5806.941361670601,5567.5866609887,
NAB,2021-01-14,5647.724544,5647.724544,5577.1279872,5606.072575488,114203.0,25000.0,84100.0,0,1970-01-01 00:00:00.000010751,both,5767.059656645392,5525.579034909305,
NAB,2021-01-15,5612.4262656,5683.0228224,5541.8297088,5633.60523264,150850.0,76300.0,61600.0,-1,1970-01-01 00:00:00.000010751,sl,5793.267682338399,5553.774007790801,
NAB,2021-01-18,5683.0228224,5683.0228224,5577.1279872,5641.017871104,228960.0,79600.0,140100.0,-1,1970-01-01 00:00:00.000010751,sl,5799.992097053706,5561.530758129146,
NAB,2021-01-19,5647.724544,5788.9176576,5118.250368,5529.828294144,268558.0,93400.0,162000.0,-1,1970-01-01 00:00:00.000010752,sl,5696.959310443145,5446.262785994428,
NAB,2021-01-20,5471.233152,5471.233152,5012.3555328,5196.612546048,126395.0,49000.0,75300.0,1,1970-01-01 00:00:00.000010753,tp,5408.438039614637,5090.699799264681,
NAB,2021-01-21,5365.3383168,5471.233152,5294.74176,5332.510917888,74660.0,19100.0,48800.0,-1,1970-01-01 00:00:00.000010755,sl,5545.588857004458,5225.971948329771,
NAB,2021-01-22,5471.233152,5471.233152,5330.0400384,5352.277953792,95639.0,18400.0,78500.0,-1,1970-01-01 00:00:00.000010755,sl,5559.471630992039,5248.68111519198,
NAB,2021-01-25,5365.3383168,5365.3383168,5224.1452032,5240.735394048,148981.0,66800.0,78800.0,-1,1970-01-01 00:00:00.000010756,sl,5449.664606702283,5136.270787720858,
NAB,2021-01-26,5188.8469248,5259.4434816,5082.9520896,5130.60476544,124603.0,24000.0,101100.0,-1,1970-01-01 00:00:00.000010757,sl,5340.495961552326,5025.6591673838375,
NAB,2021-01-27,5118.250368,5118.250368,4871.1624192,4975.645323264,83507.0,17000.0,65900.0,-1,1970-01-01 00:00:00.000010758,sl,5188.612442334093,4869.161763728953,
NAB,2021-01-28,4871.1624192,4871.1624192,4235.793408,4494.529788672,401053.0,85400.0,300100.0,0,1970-01-01 00:00:00.000010759,both,4764.496599239361,4359.54638338832,
NAB,2021-01-29,4235.793408,4906.4606976,4094.6002944,4655.136955392,127872.0,19500.0,30700.0,-1,1970-01-01 00:00:00.000010761,sl,4948.47902818964,4508.46591899318,
NAB,2021-02-01,4659.3727488,4694.6710272,4518.1796352,4567.244242176,27910.0,8400.0,16500.0,-1,1970-01-01 00:00:00.000010761,sl,4856.216698814724,4422.758013856638,
NAB,2021-02-02,4553.4779136,4659.3727488,4306.3899648,4507.237168896,98316.0,25900.0,56300.0,1,1970-01-01 00:00:00.000010762,tp,4788.118110307875,4366.796698190063,
NAB,2021-02-03,4765.267584,4906.4606976,4659.3727488,4752.560203776,38057.0,22900.0,10000.0,1,1970-01-01 00:00:00.000010764,tp,5072.041477291536,4592.819567018232,
NAB,2021-02-04,4977.0572544,5012.3555328,4835.8641408,4897.636128,21099.0,5800.0,13700.0,-1,1970-01-01 00:00:00.000010765,sl,5235.535117256225,4728.686633371887,
